재료_아이디,재료_이름,제철,보관온도,100g당 열량,잘맞는 음식,안맞는 음식,효능,구입요령,손질법,조리법,보관법,설명
555,오레가노,8~9월,,265Kcal,토마토,,"소화촉진, 긴장완화, 류머티즘, 살균, 멀미, 두통, 불면증, 소염, 피부미용","향이 강하고, 잎의 색이 뚜렷한 녹색을 띠고 있으며 광이 나는 것이 좋다.",주로 건조 된 잎이나 가루로 많이 사용한다,"육류나 등푸른 생선의 냄새제거에 사용되며, 토마토 요리에도 많이 활용된다.",가루의 경우 직사광선을 피해 상온에 보관한다.,
561,춘장,연중제철,1~5℃,157Kcal,짜장면,,,유통기한을 확인하고 믿을만한 브랜드인지 확인하고 구매한다.,식용유와 1대1비율로 눌러붙지 않게 볶아 사용한다.,주로 짜장면에 사용 되고 이 외의 볶음요리에서 많이 사용한다.,잘 밀봉하여 냉장보관한다.,
562,초콜릿,연중제철,10~15℃,543Kcal,,,"심장병예방, 동맥경화예방, 혈압강하",카카오함량이 놓을수록 효과를 볼 수 있지만 그렇지 않으면 비만을 초래할 수 있다. 유통기한을 확인하고 단단한 것을 구매한다.,바로 사용가능하다.,"바로 섭취하는것이 일반적이지만, 제과제빵에 활용할 수 있다.",건조하고 서늘한 곳에 보관한다.,
567,참치통조림,연중제철,0~5℃,210Kcal,,,"두뇌발달, 혈압강하, 심장강화, 숙취해소",유통기한을 확인하고 구매한다.,바로 사용가능하다.,"볶음, 찌개, 국, 죽, 주먹밥, 볶음밥, 김밥 등 다양하게 사용할 수 있다.",개봉 후 빨리 섭취하거나 밀봉하여 냉장보관한다.,
568,칵테일새우,연중제철,-20~0℃,85Kcal,"샐러드,볶음밥",,양기증진,주로 포장 되어 판매되기 때문에 유통기한을 확인한다.,바로 사용 가능하다.,주로 샐러드용으로 사용하기 때문에 알이 작다. 샐러드나 볶음밥용으로 많이 사용한다.,적당량 사용 훟 밀봉하여 냉동 보관한다.,
569,인삼,9월,1~5℃,98Kcal,대추,,"노화방지, 다이어트, 콜레스테롤저하, 항암작용, 당뇨치유, 혈압조절, 신진대사활발, 숙취해소, 스테미너",겉은 주름이 없고 탄탄하며 묵직한 느낌이 나는 것이 좋다. 몸에 열이 많은 사람은 피한다.,흐르는 물에 깨끗하게 씻어 보관한다.,"주로 가공하여 섭취하는데, 인삼정, 분말, 차, 음료, 술 등으로 만들어 섭취한다.",랩으로 밀봉하여 냉장보관하거나 서늘한 곳에 보관한다.,
570,이스트,연중제철,1~5℃,89Kcal,,,,유통기한을 확인하고 이상한 냄새가 없으며 물에 잘 녹아야 좋다,"물에 녹여 사용하고 녹인 물에는 설탕, 소금, 이스트푸드등을 첨가하지 않는다.",제과제빵시 부풀어 오르는 감이 필요한 음식에 첨가하여 사용한다.,밀봉하여 냉장보관한다.,
571,이탈리안시즈닝,연중제철,10~15℃,,,,,유통기한을 확인하고 구입한다.,바로 사용가능하다.,"이탈리안음식을 먹을 때 주로 사용하는 것으로, 파스타, 스프, 샐러드, 육류 등 양념장을 만들 때 사용한다.",용기를 밀봉하거나 잘 닫아 직사광선을 피해 서늘한 곳에 보관한다.,"마늘, 파슬리, 바질, 로즈마리, 타임, 파슬리, 양파 등 건조된 허브 및 향신료가 혼합되어있는 기성품이다. 브랜드마다 함유되어있는 허브의 종류는 각기 다르다"
572,인스턴트드라이이스트,연중제철,,103Kcal,,,,포장과 유통기한을 확인한다,"밀가루 사용량의 1~2%, 생이스트 사용대비 절반량을 사용한다. 물에 풀어 사용할 경우 25~28도 물을 사용한다.","주로 피자, 식빵 등 푹신푹신한 빵에 사용한다.",밀봉하여 서늘한 곳에 보관한다.,
573,인스턴트커피,연중제철,10~15℃,241Kcal,달콤한디저트,,각성효과,유통기한을 확인하고 구매한다.,바로 사용가능하다.,"뜨거운 물에 가루를 녹여 바로 음용해도 되고, 에스프레소 대신 녹인 액을 디저트에 활용할 수 있다.",뚜껑이나 봉지를 밀봉하여 직사광선을 피해 건냉한 곳에 보관한다.,
575,옥수수전분,연중제철,10~15℃,373Kcal,,,,포상장태와 유통기한을 확인하고 구입한다.,바로 사용가능하다.,"점성이 필요한 요리에 주로 사용하고, 소스, 튀김, 전 등 다양하게 활용된다.",밀봉하여 직사광선을 피해 건냉한 곳에서 보관한다.,
576,진미채,연중제철,,334Kcal,호두,,다이어트,색은 아이보리에 씹었을 때 짭쪼름하고 달큰한 즙이 나오는 것이 좋다.,먹기 좋은 크기로 잘라 흐르는 물에 2~3번 헹구고 불려 다시 물기를 빼고 사용한다.,주로 무침이나 볶음으로 사용하여 섭취한다.,밀봉하여 냉장보관한다.,
577,오트밀,연중제철,0~5℃,382Kcal,사과,,"변비해소, 고혈압예방, 동맥경화예방, 심장병예방, 신장병예방, 다이어트",흰색으로 입자가 고르며 향이 좋고 눅눅하지 않아야 한다.,바로 사용가능하다.,물이나 우유에 불려 먹거나 가루로 만들어 디저트나 우유에 사용한다.,밀폐하여 냉장보관한다.,
579,올리브유,연중제철,10~15℃,921Kcal,,,"항암작용, 콜레스테롤저하, 동맥경화예방, 노화방지, 변비해소","침전물이 없는지, 유통기한을 확인하고 구매한다.",바로 사용 가능하다.,"샐러드나 각종 소스로 활용할 수 있으며, 되도록 가열하지 않고 먹는다.",직사광선은 피하고 밀봉하여 서늘한 곳에서 보관한다.,
580,올리고당,연중체절,18~22℃,293Kcal,나물,,비만예방,유통기한과 용기의 상태를 확인한다.,바로 사용 가능하다.,"단맛을 낼 때 사용하지만, 고온에 가열하면 단맛이 사라지기 때문에 볶음이나 구이엔 적합하지 않다.",직사광선을 피해 그늘진 곳에 보관한다.,
582,와사비,연중제철,1~5℃,262Kcal,회,,,유통기한을 확인하고 연겨자와 혼동하여 구입하지 않는다.,소량으로 짜서 바로 사용한다.,간장에 섞거나 초밥에 소량으로 묻혀 주로 사용한다.,뚜껑을 닫고 냉장보관한다.,
584,소고기양지,연중제철,,214Kcal,,,"면역력 증가, 피로회복, 빈혈예방",살이 단단하고 결이 고우며 살부분이 선홍색을 나타내는 것이 좋다.,핏기를 키친타올로 제거하고 바로 사용하거나 물에 담궈 핏물을 제거하고 사용한다.,"구이, 육회, 조림, 육수 등 다양하게 사용한다.","단기간 보관시 냉장, 장기간 보관시 냉동보관한다.",
585,소주,연중제철,1~5℃,178Kcal,,,발열효과,용기를 확인하고 뚜껑이 따져있는지 확인하고 구매한다.,바로 사용한다.,일반 술로 음용하거나 재료의 잡내를 잡기 위해 활용하기도 한다.,"냉장보관한다,",
586,영양부추,6~9월,1~5℃,30Kcal,,,"스테미너, 간장기능강화, 통증완화, 보온효과, 부인병예방",잎이 마르지 않고 비틀어지거나 흐물흐물하지 않은 것이 좋다.,마른 잎은 다듬고 흐르는 물에 씻어 사용한다.,"김치,겉절이, 무침으로 사용하고, 국, 탕, 찌개 등으로 다양하게 활용할 수 있다.","신문에 싸서 냉장보관하거나, 밀봉하여 냉장보관한다.",
588,알감자,8~10월,1~5℃,45Kcal,우유,,"나트륨배출, 신장활동촉진, 고혈압예방, 감기예방",싹이 나지 않고 동글한 것이 좋다.,흐르는물에 흙을 제거하고 깨끗이 씻은 후 껍질 채 사용한다.,주로 조림이나 구이로 많이 먹는다.,직사광선을 피하고 물기를 제거해 서늘한 곳에 보관한다.,
589,알배기배추,5월 말 ~ 7월,1~5℃,12Kcal,,,"변비, 피로회복, 피부미용, 항암효과",잎이 단단하고 잎이 노란 것이 좋다.,흐르는 물에 씻어 사용한다.,"주로 쌈으로 먹거나 된장에 무쳐 먹기도 하고 국, 김치 등 다양하게 활용한다.",신문에 둘러 건냉한 곳에 보관하거나 밀봉하여 냉장보관한다.,
592,애느타리버섯,,,16Kcal,,,"고혈압 예방, 동맥경화 예방, 요통 예방, 항암효과, 면역력 향상",,흐르는 물에 세척하여 손으로 잘게 찢어 요리할 수 있다.,"채소와 함께 볶아 먹는 것이 가장 일반적이다. 이 외에도 전골이나 국, 탕에 넣어 먹기도 한다.",신문지나 키친타올로 습기를 제거하고 냉장보관한다.,
595,양조식초,연중제철,,11Kcal,,,"피로회복, 동맥경화, 식욕증진, 항균",용기 상태가 양호한 것을 고르며 침전물이나 기포가 없는 것이 좋다.,바로 사용 가능하다.,신맛을 첨가할 때 사용한다.,직사광선을 피해 서늘한 곳에서 보관한다.,
598,양파즙,"7월,8월,9월",15~25℃,35Kcal,육류,,"혈관질환, 불면증, 피로회복, 콜레스테롤저하, 면역력",껍질이 잘 마르고 광택이 있으며 단단하고 중량감이 있는 것을 고른다. 붉은 빛이 도는 것이 신선하고 눌러 보아 물렁물렁한 것은 심이 썩은 것이므로 피하도록 한다,뿌리 부분은 잘라내고 대를 자른 부분에서부터 갈색의 마른 껍질을 벗긴 후 용도에 따라 썰어서 사용,"주로 요리에 양념재료로 이용하고, 껍질을 까서 비닐팩에 넣어 냉장고에 보관하여 먹으면 신속한 조리에 이용할 수 있다.",종이봉투나 망사자루에 넣어 서늘하고 바람이 잘 통하는 곳에 둔다. 오래 저장할 때는 종이봉투에 담아 서늘한 곳에 두어 건조한 상태를 유지시키는 것이 중요하다,
600,어간장,,,,,,,유통기한을 확인하고 황갈색을 띠는 것이 좋다.,바로 사용 가능하다.,국간장이나 조선간장 대신 국이나 찌개에 사용하면 감칠맛을 더해준다.,직사광선을 피해 서늘한 곳에서 보관한다.,
601,얼갈이배추,11~12월,10~15℃,10Kcal,된장,,"감기예방, 피로회복, 변비해소, 다이어트","줄기는 단단하고 탄력이 있으며, 배추의 뿌리가 싱싱한 것이 좋다.",뿌리를 잘라내고 흐르는 물에 씻어 사용한다.,"김치를 담그거나 무침, 국으로도 사용한다.",신문에 싸서 서늘한 곳에 보관한다.,
602,어린잎채소,연중제철,0~5℃,15Kcal,,,,유통기한을 확인하고 구입한다.,흐르는 물에 살짝 헹구고 물기를 제거한 후 섭취한다.,주로 샐러드로 섭취하지만 조리 후 고명으로 올릴 수도 있다.,"냉장보관하고, 개봉 했다면 가급적 빨리 섭취하는 것이 좋다.",
603,연겨자,연중제철,10~15℃,66Kcal,,,"식욕증진, 식욕촉진","유통기한과 포장을 확인하고 구매하며, 와사비와 혼동하지 않는다.",다른 양념장에 풀어 사용하는 것이 보편적이다.,주로 냉채소스로 활용한다.,뚜껑을 닫고 냉장보관한다.,
606,연어통조림,연중제철,10~15℃,136Kcal,샐러드,,"피부관리, 혈관질환개선, 항암효과, 뇌기능향상, 노안예방, 심혈관질환예방, 다이어트, 성인병예방",유통기한을 확인하고 구매한다.,기름을 버리고 바로 사용가능하다.,샐러드나 볶음 등 다양하게 사용할 수 있다.,"개봉한 것은 빨리 섭취하고, 그렇지않은 것은 직사광선을 피해 서늘한 곳에 보관한다.",
613,베트남고추,연중제철,0~5℃,,,,"시력보호, 변비해소, 다이어트",윤기가 나고 벌레 먹은 것이 없으며 바싹 마른 것이 좋다.,"가루를 내어 사용하거나, 조금씩 잘라 사용한다.",국물요리나 찜요리에 어울리며 볶음요리에도 많이 사용한다.,밀봉하여 서늘하고 건조한 것에 보관하거나 냉장/냉동보관한다.,
614,월계수잎,4~5월,,370Kcal,육류,,"소화촉진, 류머티즘, 공기정화, 신경통완화, 방부효능",잎이 부서지지 않은 마른 잎이 좋다. 눅눅한 것은 오래 된 것이다.,잎에 있는 이물질을 마른행주로 닦아내고 사용한다.,육류를 요리 할 때 잡내 제거로 많이 사용한다.,향이 날아가지 않도록 밀폐하여 서늘한 곳에 보관한다.,
615,유부,연중계속,0~5℃,381Kcal,당근,,성장촉진,유통기한을 확인하고 구입한다.,뜨거운 물을 붓거나 데쳐 기름기를 뺀 후 사용한다.,"손질한 유부에 밥을 넣어 초밥을 만들거나, 된장국이 나 국 종류에 사용한다.",밀봉하여 냉동보관한다.,
619,자색양파,7~9월,1~10℃,28Kcal,샐러드,,"항암작용, 다이어트, 신장강화, 해독작용, 독소배출, 혈액순환, 동맥경화예방, 피로회복",전체적으로 단단하고 성처가 없는 것이 좋다.,위와 아래를 자르고 껍질을 벗겨 씻어 사용한다.,"샐러드에 사용하거나, 양파를 사용하는 것 처럼 국, 탕, 찌개, 볶음 등 다양하게 사용할 수 있다.","손질 한 것은 랩으로 밀봉하여 냉장보관하고, 손질하지 않은 것들은 건조하고 서늘한 곳에 보관한다.",
621,자색양배추,연중제철,1~5℃,29Kcal,,,"노화방지, 암예방, 시력보호, 면역증진","잎이 단단하고 무르지 않으며, 상처가 많이 없는 것이 좋다.","흐르는 물에 씻어 사용하고, 용도에 따라 데쳐 사용하기도 한다.","생으로는 샐러드로,샌드위치 등으로 활용할 수 있고, 데쳐서 쌈으로, 국, 찌개 등, 볶음으로도 다양하게 사용할 수 있다.",씻어 사용 후 물기를 제거하고 랩으로 싼 후 밀봉하여 냉장보관한다.,
624,정종,연중제철,10~15℃,133Kcal,,,,유통기한을 확인하고 용기에 이상이 없는지 확인하고 구입한다.,바로 사용가능하다.,"그냥 마셔도 되지만, 육류의 비린내나 잡내를 잡는데 사용한다.",밀봉하여 직사광선이 닿지 않는 서늘한 곳에 보관한다.,
625,정향,연중제철,,274Kcal,육류,,"향균, 냄새제거",단단하며 색이 짙으면 좋다.,흐르는 물에 세척하여 사용한다.,"육류의 누린내를 제거하는데 사용되며, 과자류를 만드는데도 사용된다.",직사광선을 피해 서늘한 곳에서 보관한다.,
630,훈제연어,연중제철,-20~0℃,171Kcal,샐러드,,"피부관리, 혈관질환개선, 항암효과, 뇌기능향상, 노안예방, 심혈관질환예방, 다이어트, 성인병예방",유통기한을 확인하고 구입한다.,냉동된 연어는 해동하고 사용한다.,바로 섭취하거나 샐러드로 만들어 먹는 것이 가장 보편적이다.,냉동보관한다.,
633,머스터드,연중제철,,315Kcal,"육류, 계란, 채소",,"진통, 소염, 통증완화","보통 머스터드소스를 많이 구매하는데, 유통기한을 확인하고 구매한다.",바로 사용 가능하다.,"샐러드에 드레싱으로 사용하거나 육류, 계란 요리의 소스로도 활용 된다.",직사광선을 피해 서늘한 곳에서 보관한다.,
634,햄,연중제철,0~5℃,220Kcal,채소,,,유통기한을 확인하고 포장상태를 잘 살피고 물이 없는 것을 구입한다.,데쳐 사용하거나 바로 사용할 수 있다.,"찌개, 국,탕, 전골, 빵, 볶음 등 다양하게 사용할 수 있다.","밀봉하여 냉장보관하고, 개봉한 것일 경우 최대한 빨리 섭취한다.",
